#TOD, VSZ_CPL_N_0, RSS_CPL_N_0, VSZ_ATM_N_0, RSS_ATM_N_0, VSZ_LND_N_0, RSS_LND_N_0, VSZ_ICE_N_0, RSS_ICE_N_0, VSZ_OCN_N_0, RSS_OCN_N_0, VSZ_GLC_N_0, RSS_GLC_N_0, VSZ_ROF_N_0, RSS_ROF_N_0, VSZ_WAV_N_0, RSS_WAV_N_0, VSZ_IAC_N_0, RSS_IAC_N_0
20110100.00000,   129141.496,      177.926,   129141.496,      177.926,   129141.496,      177.926,   129141.496,      177.926,   129141.496,      177.926,   129141.496,      177.926,   129141.496,      177.926,   129141.496,      177.926,   129141.496,      177.926
20110102.00000,   129201.914,      189.309,   129201.914,      189.309,   129201.914,      189.309,   129201.914,      189.309,   129201.914,      189.309,   129201.914,      189.309,   129201.914,      189.309,   129201.914,      189.309,   129201.914,      189.309
20110104.00000,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469
20110104.00000,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469
20110104.00000,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469
20110106.00000,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469
20110108.00000,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469
20110108.00000,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469
20110108.00000,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469
20110110.00000,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469,   129201.914,      189.469
20110112.00000,   129201.914,      189.473,   129201.914,      189.473,   129201.914,      189.473,   129201.914,      189.473,   129201.914,      189.473,   129201.914,      189.473,   129201.914,      189.473,   129201.914,      189.473,   129201.914,      189.473
