,observed_Q,basin_ppt,basin_tmin,basin_tmax,model_Q,basin_soil_moist,basin_snowmelt,basin_actet,basin_potet
0,0.0,0.0,255.92694,255.92694,3.5584274e-06,0.43038523,13.247305,1.2041782e-08,1.2041782e-08
1,0.0,0.0,263.57108,263.57108,3.4999305e-06,0.4255361,13.367895,2.301306e-08,2.301306e-08
2,0.0,0.0,257.4174,257.4174,3.5682283e-06,0.42770773,13.245064,1.0912859e-08,1.0912859e-08
3,0.0,0.0,265.72266,265.72266,3.5076882e-06,0.42828578,14.425939,3.1692382e-09,3.1692382e-09
4,0.0,0.0,249.70476,249.70476,3.5379899e-06,0.42351437,15.905715,8.176542e-09,8.176542e-09
5,0.0,0.0,247.65,247.65,3.539493e-06,0.42986134,15.743123,8.9613525e-09,8.9613525e-09
6,0.0,0.0,253.37428,253.37428,3.4980187e-06,0.42647037,15.81658,8.8080325e-09,8.8080325e-09
7,0.0,0.0,250.0039,250.0039,3.540326e-06,0.42585143,16.809921,6.197249e-09,6.197249e-09
8,0.0,0.0,255.283,255.283,3.5372511e-06,0.43126693,18.325232,2.4108104e-09,2.4108104e-09
9,0.0,0.0,253.71577,253.71577,3.5011055e-06,0.42758814,20.449734,9.046358e-09,9.046358e-09
10,0.0,0.0,251.80745,251.80745,3.482408e-06,0.42501804,20.227224,1.8083805e-08,1.8083805e-08
11,0.0,0.0,251.0627,251.0627,3.5585447e-06,0.4286848,19.990189,1.1955786e-08,1.1955786e-08
12,0.0,0.0,250.66495,250.66495,3.5113562e-06,0.42896867,19.79539,1.0923593e-08,1.0923593e-08
13,0.0,0.0,248.7112,248.7112,3.4842362e-06,0.4259355,19.590847,1.7554635e-08,1.7554635e-08
14,0.0,0.0,261.458,261.458,3.4734232e-06,0.42632282,19.423159,1.6165387e-08,1.6165387e-08
15,0.0,0.0,268.16214,268.16214,3.47209e-06,0.42701066,20.156979,2.5109221e-08,2.5109221e-08
16,0.0,0.0,261.3277,261.3277,3.471325e-06,0.42532134,19.923035,2.4448648e-08,2.4448648e-08
17,0.0,0.0,267.72345,267.72345,3.552005e-06,0.430228,21.585764,2.3776767e-09,2.3776767e-09
18,0.0,0.0,270.41858,270.41858,3.5111136e-06,0.4308583,23.584703,1.673771e-08,1.673771e-08
19,0.0,0.0,263.65787,263.65787,3.4869386e-06,0.42788437,23.406078,2.7951954e-08,2.7951954e-08
20,0.0,0.0,269.1063,269.1063,3.4775026e-06,0.42769203,23.304743,1.9269589e-08,1.9269589e-08
21,0.0,0.0,268.65076,268.65076,3.4741122e-06,0.42720413,23.191706,2.0134456e-08,2.0134456e-08
22,0.0,0.0,265.1789,265.1789,3.4688696e-06,0.42550746,22.930092,4.5835172e-08,4.5835172e-08
23,0.0,0.0,272.36014,272.36014,3.5432104e-06,0.42929253,22.658628,6.230635e-08,6.230635e-08
24,0.0,0.0,273.57675,273.57675,3.8726203e-06,0.4323934,22.788046,5.0955265e-08,5.0955265e-08
25,0.0,0.0,266.4839,266.4839,4.3520263e-06,0.43024662,23.658934,4.2765713e-08,4.2765713e-08
26,0.0,0.0,269.88174,269.88174,3.4828236e-06,0.42814875,26.384977,3.1566267e-09,3.1566267e-09
27,0.0,0.0,271.1787,271.1787,3.4751176e-06,0.42725363,26.73824,3.718742e-08,3.718742e-08
28,0.0,0.0,270.47885,270.47885,3.469999e-06,0.42673808,26.51245,1.2121973e-08,1.2121973e-08
29,0.0,0.0,267.55283,267.55283,3.467452e-06,0.42587596,26.36114,1.7568654e-08,1.7568654e-08
