observed_Q	basin_ppt	basin_tmin	basin_tmax	model_Q	basin_soil_moist	basin_snowmelt	basin_actet	basin_potet
8.217592592592593e-08	0.0	242.71585	242.71585	4.691373e-06	0.8765649	82.78666	1.4397245e-09	1.4397245e-09
6.13425925925926e-08	0.0	258.2698	258.2698	4.740177e-06	0.87767047	85.33228	5.345897e-10	5.345897e-10
6.13425925925926e-08	0.0	253.92577	253.92577	4.7275366e-06	0.8760531	87.21516	7.808288e-09	7.808288e-09
2.0833333333333335e-08	0.0	244.5485	244.5485	4.7184553e-06	0.86989015	87.132805	2.0555278e-08	2.0555278e-08
1.0416666666666667e-08	0.0	248.13478	248.13478	4.652213e-06	0.86989015	87.027504	3.874572e-08	3.874572e-08
1.0416666666666667e-08	0.0	256.6633	256.6633	4.551395e-06	0.86989015	87.414276	2.425043e-08	2.425043e-08
1.0416666666666667e-08	0.0	253.05733	253.05733	4.539722e-06	0.86989015	87.63743	2.485905e-08	2.485905e-08
1.0416666666666667e-08	0.0	258.15005	258.15005	4.5322145e-06	0.86989015	88.380844	2.9159417e-09	2.9159417e-09
0.0	0.0	255.5923	255.5923	4.5139386e-06	0.86989015	88.790215	2.8499647e-08	2.8499647e-08
0.0	0.0	248.8901	248.8901	4.526514e-06	0.86989015	88.63347	4.68817e-08	4.68817e-08
0.0	0.0	255.37534	255.37534	4.509644e-06	0.86989015	88.479225	5.511899e-08	5.511899e-08
0.0	0.0	262.8903	262.8903	4.5174074e-06	0.86989015	88.76508	2.7265903e-08	2.7265903e-08
0.0	0.0	262.70993	262.70993	4.5056204e-06	0.86989015	89.10007	6.501719e-08	6.501719e-08
0.0	0.0	263.3809	263.3809	4.5158063e-06	0.86989015	89.70885	1.14763905e-08	1.14763905e-08
0.0	0.0	261.7021	261.7021	4.7147387e-06	0.8726795	91.53244	1.8376198e-08	1.8376198e-08
0.0	0.0	258.05176	258.05176	4.7302815e-06	0.8731522	97.249535	1.1648558e-08	1.1648558e-08
0.0	0.0	250.47215	250.47215	4.7230155e-06	0.8748919	97.228806	3.061752e-08	3.061752e-08
0.0	0.0	260.8851	260.8851	4.7203566e-06	0.8743201	102.60035	4.108311e-09	4.108311e-09
0.0	0.0	256.36505	256.36505	4.7182766e-06	0.87385577	105.47141	2.5030884e-08	2.5030884e-08
0.0	0.0	252.68439	252.68439	4.7162844e-06	0.8734155	105.30164	4.4708333e-08	4.4708333e-08
0.0	0.0	253.13068	253.13068	4.7142726e-06	0.8729745	105.114655	2.8551165e-08	2.8551165e-08
0.0	0.0	241.15118	241.15118	4.712107e-06	0.87250274	105.02106	1.1752909e-08	1.1752909e-08
0.0	0.0	248.58179	248.58179	4.728811e-06	0.8717706	105.820595	1.8740478e-08	1.8740478e-08
0.0	0.0	245.93265	245.93265	4.8379793e-06	0.87178177	105.71963	2.0589876e-08	2.0589876e-08
0.0	0.0	261.89752	261.89752	4.7772714e-06	0.8719645	107.03918	5.7856933e-09	5.7856933e-09
0.0	0.0	263.1258	263.1258	4.8057836e-06	0.8715765	107.48642	4.0101003e-08	4.0101003e-08
0.0	0.0	266.0813	266.0813	4.8047064e-06	0.8713628	107.33471	6.591233e-08	6.591233e-08
0.0	0.0	267.5998	267.5998	4.8036563e-06	0.871141	107.212036	7.446267e-08	7.446267e-08
0.0	0.0	266.53168	266.53168	4.8135394e-06	0.870933	108.0486	2.6149037e-08	2.6149037e-08
0.0	0.0	265.55408	265.55408	4.8361026e-06	0.87080437	114.38642	4.2045545e-09	4.2045545e-09
0.0	0.0	258.98154	258.98154	4.8504126e-06	0.87084585	115.26243	4.1913815e-08	4.1913815e-08
0.0	0.0	256.26788	256.26788	4.8602874e-06	0.8705614	115.03491	4.400662e-08	4.400662e-08
