observed_Q	basin_ppt	basin_tmin	basin_tmax	model_Q	basin_soil_moist	basin_snowmelt	basin_actet	basin_potet
8.217592592592593e-08	0.0	242.5637	242.5637	8.065831e-06	0.5645416	55.578003	0.0	0.0
6.13425925925926e-08	0.0	258.51477	258.51477	8.062052e-06	0.56452066	58.010345	0.0	0.0
6.13425925925926e-08	0.0	253.70259	253.70259	8.058303e-06	0.5645054	59.88258	0.0	0.0
2.0833333333333335e-08	0.0	244.5876	244.5876	8.054584e-06	0.5644879	59.853	0.0	0.0
1.0416666666666667e-08	0.0	248.08582	248.08582	8.050894e-06	0.5644712	59.828827	0.0	0.0
1.0416666666666667e-08	0.0	256.84128	256.84128	8.047234e-06	0.5644578	60.57474	0.0	0.0
1.0416666666666667e-08	0.0	252.91994	252.91994	8.043601e-06	0.56444496	61.026604	0.0	0.0
1.0416666666666667e-08	0.0	257.97498	257.97498	8.039996e-06	0.5644325	61.80769	0.0	0.0
0.0	0.0	255.25273	255.25273	8.036418e-06	0.5644213	62.439445	0.0	0.0
0.0	0.0	248.64969	248.64969	8.032866e-06	0.5644088	62.416805	0.0	0.0
0.0	0.0	255.44872	255.44872	8.02934e-06	0.5643983	62.38327	0.0	0.0
0.0	0.0	262.87857	262.87857	8.02584e-06	0.5643913	63.05719	0.0	0.0
0.0	0.0	262.59186	262.59186	8.022363e-06	0.5643856	63.77436	0.0	0.0
0.0	0.0	263.1996	263.1996	8.018909e-06	0.564379	64.63244	0.0	0.0
0.0	0.0	261.47913	261.47913	8.015479e-06	0.5643735	67.15766	0.0	0.0
0.0	0.0	257.5255	257.5255	8.01207e-06	0.5643695	72.92709	0.0	0.0
0.0	0.0	250.4607	250.4607	8.008682e-06	0.56436545	73.001724	0.0	0.0
0.0	0.0	260.86325	260.86325	8.005314e-06	0.5643626	77.82862	0.0	0.0
0.0	0.0	255.86447	255.86447	8.001965e-06	0.56436104	80.26632	0.0	0.0
0.0	0.0	252.95215	252.95215	7.998636e-06	0.5643592	80.223885	0.0	0.0
0.0	0.0	252.9018	252.9018	7.995323e-06	0.5643576	80.36308	0.0	0.0
0.0	0.0	241.18503	241.18503	7.992027e-06	0.5643555	80.456375	0.0	0.0
0.0	0.0	248.4787	248.4787	7.988747e-06	0.5643537	81.13598	0.0	0.0
0.0	0.0	246.46097	246.46097	7.985481e-06	0.5643519	81.10523	0.0	0.0
0.0	0.0	261.95706	261.95706	7.982229e-06	0.5643509	82.53182	0.0	0.0
0.0	0.0	262.91782	262.91782	7.978991e-06	0.5643501	83.05336	0.0	0.0
0.0	0.0	265.93027	265.93027	7.975764e-06	0.56434935	82.99757	0.0	0.0
0.0	0.0	267.50958	267.50958	7.972549e-06	0.5643488	82.954956	0.0	0.0
0.0	0.0	266.3403	266.3403	7.969343e-06	0.5643483	83.76084	0.0	0.0
0.0	0.0	265.22318	265.22318	7.966147e-06	0.56434774	88.9738	0.0	0.0
0.0	0.0	258.75565	258.75565	7.962958e-06	0.56434727	89.6458	0.0	0.0
0.0	0.0	255.94283	255.94283	7.959778e-06	0.5643466	89.67586	0.0	0.0
0.0	0.0	253.64508	253.64508	7.956603e-06	0.56434596	89.7722	0.0	0.0
0.0	0.0	249.9291	249.9291	7.953434e-06	0.56434536	89.736176	0.0	0.0
0.0	0.0	261.56613	261.56613	7.95027e-06	0.564345	89.70651	0.0	0.0
0.0	0.0	268.28015	268.28015	7.947108e-06	0.56434476	90.95739	0.0	0.0
0.0	0.0	271.05988	271.05988	7.94395e-06	0.5643447	92.4358	0.0	0.0
0.0	0.0	267.98325	267.98325	7.940793e-06	0.5643445	92.35436	0.0	0.0
0.0	0.0	257.37405	257.37405	7.937637e-06	0.56434417	92.25562	0.0	0.0
0.0	0.0	251.27205	251.27205	7.934481e-06	0.5643437	92.199234	0.0	0.0
0.0	0.0	252.68614	252.68614	7.931324e-06	0.56434333	92.16194	0.0	0.0
0.0	0.0	246.87631	246.87631	7.928164e-06	0.56434286	92.12162	0.0	0.0
0.0	0.0	252.95462	252.95462	7.925002e-06	0.56434244	92.09591	0.0	0.0
0.0	0.0	261.69266	261.69266	7.921837e-06	0.5643422	92.07997	0.0	0.0
2.0833333333333335e-08	0.0	270.3187	270.3187	7.918667e-06	0.564342	92.051285	0.0	0.0
2.0833333333333335e-08	0.0	272.88492	272.88492	7.915491e-06	0.56429976	92.042625	0.0	0.0
5.208333333333333e-08	0.0	272.27814	272.27814	8.628636e-06	0.5644036	91.97297	0.0	0.0
1.0300925925925925e-07	0.0	272.78476	272.78476	3.823367e-05	0.5776771	90.68201	0.0	0.0
1.0300925925925925e-07	0.0	275.25345	275.25345	2.505499e-05	0.6599282	83.85209	0.0	0.0
1.0300925925925925e-07	0.0	263.16812	263.16812	8.319891e-06	0.7361855	81.07522	0.0	0.0
1.0300925925925925e-07	0.0	256.55746	256.55746	7.93591e-06	0.73971456	81.278755	0.0	0.0
7.175925925925926e-08	0.0	262.68216	262.68216	7.89627e-06	0.74206895	81.43179	0.0	0.0
4.166666666666667e-08	0.0	262.7384	262.7384	7.8930325e-06	0.7467435	81.49356	0.0	0.0
5.208333333333333e-08	0.0	262.67093	262.67093	7.889782e-06	0.7521601	81.52586	0.0	0.0
5.208333333333333e-08	0.0	267.74344	267.74344	7.886519e-06	0.756631	82.43809	0.0	0.0
6.13425925925926e-08	0.0	262.46857	262.46857	7.883241e-06	0.7603318	86.14175	0.0	0.0
7.175925925925926e-08	0.0	252.95224	252.95224	7.879949e-06	0.7654102	86.42394	0.0	0.0
0.0	0.0	246.97925	246.97925	7.8766425e-06	0.76732826	87.0409	0.0	0.0
0.0	0.0	257.0959	257.0959	7.87332e-06	0.7674911	87.42686	0.0	0.0
0.0	0.0	258.4294	258.4294	7.86998e-06	0.76740605	87.49364	0.0	0.0
0.0	0.0	263.27307	263.27307	7.8666235e-06	0.7672662	87.41005	0.0	0.0
0.0	0.0	252.59557	252.59557	7.863248e-06	0.7669953	87.31764	0.0	0.0
0.0	0.0	262.32864	262.32864	7.859854e-06	0.76665163	87.19262	0.0	0.0
0.0	0.0	265.68765	265.68765	7.856441e-06	0.76642257	87.051476	0.0	0.0
0.0	0.0	261.75186	261.75186	7.853007e-06	0.76613545	86.85044	0.0	0.0
0.0	0.0	264.72794	264.72794	7.849553e-06	0.76581544	86.90208	0.0	0.0
0.0	0.0	263.96735	263.96735	7.846078e-06	0.76550835	88.33832	0.0	0.0
0.0	0.0	260.80695	260.80695	7.84258e-06	0.7648993	88.18348	0.0	0.0
0.0	0.0	270.14532	270.14532	1.360342e-05	0.76417845	87.916695	0.0	0.0
0.0	0.0	270.94165	270.94165	3.0824227e-05	0.766066	85.91385	0.0	0.0
0.0	0.0	269.85733	269.85733	2.603714e-05	0.771177	80.82336	0.0	0.0
0.0	4.3342648e-06	269.67578	269.67578	1.5062529e-05	0.7800437	76.90917	0.0	0.0
0.0	0.0	265.69876	265.69876	7.824743e-06	0.78341466	76.71796	0.0	0.0
4.166666666666667e-08	0.0	267.858	267.858	3.5990848e-05	0.7839345	75.603516	0.0	0.0
3.125e-08	0.0	274.24042	274.24042	4.6116787e-05	0.79390776	68.56507	0.0	0.0
1.0300925925925925e-07	0.0	272.68512	272.68512	3.501646e-05	0.8105261	60.079773	0.0	0.0
5.150462962962963e-07	2.471463e-05	276.01062	276.01062	6.9430636e-05	0.8495694	52.180668	0.0	0.0
2.060185185185185e-07	0.0	270.70868	270.70868	2.6492115e-05	0.9057167	42.036407	0.0	0.0
2.060185185185185e-07	0.0	268.2955	268.2955	3.541611e-05	0.93905914	37.168995	0.0	0.0
3.090277777777778e-07	2.720092e-06	274.62802	274.62802	2.7303711e-05	0.94935524	30.680601	0.0	0.0
7.222222222222222e-07	0.0	274.78488	274.78488	4.2497253e-05	0.9602882	25.637482	0.0	0.0
4.12037037037037e-07	0.0	272.72876	272.72876	8.006843e-06	0.97382045	19.788628	0.0	0.0
3.090277777777778e-07	0.0	268.30313	268.30313	1.2258156e-05	0.99024147	19.623066	0.0	0.0
4.12037037037037e-07	0.0	264.56744	264.56744	2.5622101e-05	1.0052994	20.46429	0.0	0.0
3.090277777777778e-07	0.0	264.75684	264.75684	2.6081669e-05	1.0070057	19.916271	0.0	0.0
2.060185185185185e-07	0.0	266.43567	266.43567	2.3718605e-05	1.0064791	18.732113	2.835692e-27	2.835692e-27
3.090277777777778e-07	0.0	264.7991	264.7991	2.72851e-05	1.0063865	19.64437	2.226481e-26	2.226481e-26
3.090277777777778e-07	0.0	266.17355	266.17355	2.2243337e-05	1.0051855	22.304565	1.456132e-26	1.456132e-26
3.090277777777778e-07	0.0	267.91153	267.91153	3.105427e-05	1.0021067	25.444254	8.93832e-27	8.93832e-27
4.12037037037037e-07	0.0	269.10138	269.10138	3.6942583e-05	0.9989165	24.50048	1.2411412e-27	1.2411412e-27
