observed_Q	basin_ppt	basin_tmin	basin_tmax	model_Q	basin_soil_moist	basin_snowmelt	basin_actet	basin_potet
8.217592592592593e-08	0.0	242.53926	242.59679	1.8099319e-06	1.0090196	52.071117	0.0	0.0
6.13425925925926e-08	0.0	258.49008	258.55222	2.2985994e-06	1.009361	54.9164	0.0	0.0
6.13425925925926e-08	0.0	253.67845	253.73134	2.8041627e-06	1.009361	57.26913	0.0	0.0
2.0833333333333335e-08	0.0	244.56345	244.63165	2.2967724e-06	1.009361	58.033974	0.0	0.0
1.0416666666666667e-08	0.0	248.06096	248.12622	5.4363517e-07	1.009361	58.701797	0.0	0.0
1.0416666666666667e-08	0.0	256.81693	256.87445	-5.4211977e-08	1.009361	59.802242	0.0	0.0
1.0416666666666667e-08	0.0	252.89703	252.94421	1.9172535e-07	1.009361	60.552235	0.0	0.0
1.0416666666666667e-08	0.0	257.95264	257.9889	6.5168257e-07	1.009361	61.569363	0.0	0.0
0.0	0.0	255.23064	255.26979	1.0206011e-06	1.009361	62.372776	0.0	0.0
0.0	0.0	248.62825	248.69058	1.2869893e-06	1.009361	62.550518	0.0	0.0
0.0	0.0	255.42773	255.48749	1.4308804e-06	1.009361	62.624386	0.0	0.0
0.0	0.0	262.8566	262.90665	1.5650404e-06	1.009361	63.30983	0.0	0.0
0.0	0.0	262.56873	262.61063	1.7177147e-06	1.009361	64.014885	0.0	0.0
0.0	0.0	263.17688	263.20966	1.8754112e-06	1.009361	64.82949	0.0	0.0
0.0	0.0	261.45642	261.49335	2.0202754e-06	1.009361	67.3223	0.0	0.0
0.0	0.0	257.50293	257.5396	2.14961e-06	1.009361	73.05795	0.0	0.0
0.0	0.0	250.4378	250.48747	2.2714464e-06	1.009361	73.119644	0.0	0.0
0.0	0.0	260.8403	260.8833	2.3753178e-06	1.009361	77.915665	0.0	0.0
0.0	0.0	255.84201	255.87653	2.4712824e-06	1.009361	80.309006	0.0	0.0
0.0	0.0	252.92805	252.98572	2.558197e-06	1.009361	80.2368	0.0	0.0
0.0	0.0	252.87857	252.92519	2.6252258e-06	1.009361	80.41789	0.0	0.0
0.0	0.0	241.16185	241.2216	2.6786483e-06	1.009361	80.807205	0.0	0.0
0.0	0.0	248.4556	248.50645	2.7398132e-06	1.009361	81.88311	0.0	0.0
0.0	0.0	246.43608	246.51494	2.943958e-06	1.009361	82.410805	0.0	0.0
0.0	0.0	261.93326	261.98016	3.1606035e-06	1.009361	84.162415	0.0	0.0
0.0	0.0	262.89447	262.93097	3.2403082e-06	1.009361	84.913124	0.0	0.0
0.0	0.0	265.90622	265.94366	3.2429268e-06	1.009361	85.016815	0.0	0.0
0.0	0.0	267.48557	267.52466	3.2081693e-06	1.009361	85.08328	0.0	0.0
0.0	0.0	266.31757	266.3513	3.1528102e-06	1.009361	85.995316	0.0	0.0
0.0	0.0	265.20078	265.23038	3.0903204e-06	1.009361	91.35764	0.0	0.0
0.0	0.0	258.7328	258.7666	3.0234069e-06	1.009361	92.2961	0.0	0.0
0.0	0.0	255.9203	255.95203	2.9662026e-06	1.009361	92.73506	0.0	0.0
0.0	0.0	253.62138	253.6639	2.928066e-06	1.009361	93.35993	0.0	0.0
0.0	0.0	249.9015	250.02548	2.903438e-06	1.009361	93.84661	0.0	0.0
0.0	0.0	261.53912	261.64673	2.7957608e-06	1.009361	94.17384	0.0	0.0
0.0	0.0	268.25647	268.33194	2.628808e-06	1.009361	95.50062	0.0	0.0
0.0	0.0	271.0332	271.07693	2.4260562e-06	1.009361	96.99767	0.0	0.0
0.0	0.0	267.95972	267.9788	2.1218414e-06	1.009361	96.90715	0.0	0.0
0.0	0.0	257.3511	257.38214	1.8017564e-06	1.009361	96.98027	0.0	0.0
0.0	0.0	251.24423	251.3715	1.6101174e-06	1.009361	97.43447	0.0	0.0
0.0	0.0	252.65761	252.86308	1.5410709e-06	1.009361	97.68945	0.0	0.0
0.0	0.0	246.85483	246.93329	1.3138215e-06	1.009361	98.22696	0.0	0.0
0.0	0.0	252.91649	252.9876	7.7829077e-07	1.0093746	98.80725	0.0	0.0
0.0	0.0	261.66653	261.7255	2.6344716e-07	1.0093936	99.09992	0.0	0.0
