observed_Q	basin_ppt	basin_tmin	basin_tmax	model_Q	basin_soil_moist	basin_snowmelt	basin_actet	basin_potet
0.0	0.0	255.92346	255.92346	1.3299739e-05	0.4956245	7.3604355	0.0	0.0
0.0	0.0	263.28943	263.28943	1.3284559e-05	0.49403712	7.6340084	0.0	0.0
0.0	0.0	257.22577	257.22577	1.3269442e-05	0.49114463	7.888034	0.0	0.0
0.0	0.0	265.9594	265.9594	1.3254389e-05	0.49036056	8.990298	0.0	0.0
0.0	0.0	249.06682	249.06682	1.3239403e-05	0.4885397	10.247048	0.0	0.0
0.0	0.0	247.25793	247.25793	1.3224484e-05	0.4883223	10.220576	0.0	0.0
0.0	0.0	253.10704	253.10704	1.3209632e-05	0.4883223	10.315412	0.0	0.0
0.0	0.0	249.60573	249.60573	1.319485e-05	0.4883223	10.913686	0.0	0.0
0.0	0.0	255.11414	255.11414	1.3180137e-05	0.4883223	12.422902	0.0	0.0
0.0	0.0	253.28615	253.28615	1.3165496e-05	0.4883223	14.655898	0.0	0.0
0.0	0.0	251.32729	251.32729	1.3150927e-05	0.4883223	14.624776	0.0	0.0
0.0	0.0	250.73108	250.73108	1.3136431e-05	0.4883223	14.59238	0.0	0.0
0.0	0.0	250.27806	250.27806	1.312201e-05	0.4883223	14.560875	0.0	0.0
0.0	0.0	248.60744	248.60744	1.3107664e-05	0.4883223	14.531364	0.0	0.0
0.0	0.0	261.541	261.541	1.3093395e-05	0.4883223	14.495577	0.0	0.0
0.0	0.0	268.63037	268.63037	1.3079203e-05	0.4883279	15.184704	0.0	0.0
0.0	0.0	260.9944	260.9944	1.306509e-05	0.4883223	15.148264	0.0	0.0
0.0	0.0	268.007	268.007	1.3051055e-05	0.48833388	16.91645	0.0	0.0
0.0	0.0	270.4495	270.4495	1.3037102e-05	0.48836705	18.879461	0.0	0.0
0.0	0.0	263.81656	263.81656	1.3023229e-05	0.4883223	18.833866	0.0	0.0
0.0	0.0	268.89432	268.89432	1.3009439e-05	0.4883223	18.798956	0.0	0.0
0.0	0.0	268.37372	268.37372	1.2995731e-05	0.4883223	18.7607	0.0	0.0
